model,effort,num_requested,run,scenario_index,name,fen,canonical_fen,move,fen_valid,white_to_move,move_valid,is_checkmate,reasoning_length,error
anthropic/claude-opus-4.5,high,10,10,2,Queen Kiss of Death,7k/8/6Q1/8/8/8/8/4K3 w - - 0 1,3K4/8/8/8/8/1Q6/8/k7,Qg7#,True,True,True,False,29271,Move gives check but not checkmate
anthropic/claude-opus-4.5,high,10,10,3,Scholar's Mate,r1bqkb1r/pppp1ppp/2n2n2/4p2Q/2B1P3/8/PPPP1PPP/RNB1K1NR w KQkq - 0 1,RN1K1BNR/PPP1PPPP/8/3P1B2/Q2p4/2n2n2/ppp1pppp/r1bkqb1r,Qxf7#,True,True,True,True,29271,
anthropic/claude-opus-4.5,high,10,10,4,Epaulette Mate,3rkr2/8/8/8/8/8/8/4QK2 w - - 0 1,,Qe7#,False,False,False,False,29271,Invalid position (illegal board state)
anthropic/claude-opus-4.5,high,10,10,5,Arabian Mate,7k/6p1/5N2/8/8/8/8/4K2R w - - 0 1,,Rh7#,False,False,False,False,29271,Invalid position (illegal board state)
anthropic/claude-opus-4.5,high,10,10,6,Suffocation Mate,5rkr/5pp1/8/8/4N3/8/8/4K3 w - - 0 1,3K4/8/8/3N4/8/8/1pp5/rkr5,Nf6#,True,True,True,False,29271,Move gives check but not checkmate
anthropic/claude-opus-4.5,high,10,10,7,Queen and Rook Mate,k7/8/1Q6/8/8/8/8/1R2K3 w - - 0 1,1R2K3/8/8/8/8/1Q6/8/k7,Rb8#,True,True,False,False,29271,Illegal move: Rb8#
anthropic/claude-opus-4.5,high,10,10,8,Double Check Mate,7k/6Rp/5N2/8/3B4/8/8/4K3 w - - 0 1,3K4/8/8/4B3/8/2N5/pR6/k7,Rg8#,True,True,True,True,29271,
anthropic/claude-opus-4.5,high,10,10,9,Pawn Promotion Mate,k7/1P6/2K5/8/8/8/8/8 w - - 0 1,,b8=Q#,False,False,False,False,29271,Invalid position (illegal board state)
anthropic/claude-opus-4.5,high,10,2,0,Back Rank Mate,6k1/5ppp/8/8/8/8/8/R3K3 w - - 0 1,1k6/ppp5/8/8/8/8/8/3K3R,Ra8#,True,True,True,True,16638,
anthropic/claude-opus-4.5,high,10,2,1,Queen Diagonal Mate,7k/6pp/8/6Q1/8/8/8/4K3 w - - 0 1,3K4/8/8/8/1Q6/8/pp6/k7,Qd8#,True,True,True,True,16638,
anthropic/claude-opus-4.5,high,10,2,2,Smothered Mate,3N2kr/6pp/8/8/8/8/8/4K3 w - - 0 1,3K4/8/8/8/8/8/pp6/rk2N3,Nf7#,True,True,True,False,16638,Move does not give check
anthropic/claude-opus-4.5,high,10,2,3,Scholar's Mate,r1bqkbnr/pppp1ppp/2n5/4p2Q/2B1P3/8/PPPP1PPP/RNB1K1NR w KQkq - 0 1,RN1K1BNR/PPP1PPPP/8/3P1B2/Q2p4/5n2/ppp1pppp/rnbkqb1r,Qxf7#,True,True,True,True,16638,
anthropic/claude-opus-4.5,high,10,2,4,Two Rooks Mate,k7/2R5/8/8/8/8/8/1R2K3 w - - 0 1,1R2K3/8/8/8/8/8/2R5/k7,Rb8#,True,True,True,False,16638,Move gives check but not checkmate
anthropic/claude-opus-4.5,high,10,2,5,Queen and Bishop Mate,6kr/8/4Q3/8/2B5/8/8/4K3 w - - 0 1,,Qf7#,False,False,False,False,16638,Invalid position (illegal board state)
anthropic/claude-opus-4.5,high,10,2,6,Arabian Mate,7k/6p1/5N2/8/8/8/8/4K2R w - - 0 1,,Rh7#,False,False,False,False,16638,Invalid position (illegal board state)
anthropic/claude-opus-4.5,high,10,2,7,Boden's Mate,2kr4/p2p4/8/8/2B5/6B1/8/4K3 w - - 0 1,2kr4/p2p4/8/8/2B5/6B1/8/4K3,Ba6#,True,True,True,True,16638,
anthropic/claude-opus-4.5,high,10,2,8,Epaulette Mate,3rkr2/8/8/8/8/8/8/4QK2 w - - 0 1,,Qe6#,False,False,False,False,16638,Invalid position (illegal board state)
anthropic/claude-opus-4.5,high,10,2,9,Bishop and Knight Mate,k7/8/B1N5/8/8/8/8/4K3 w - - 0 1,3K4/8/8/8/8/5N1B/8/7k,Bb7#,True,True,True,False,16638,Move gives check but not checkmate
anthropic/claude-opus-4.5,high,10,3,0,Back Rank Mate,6k1/5ppp/8/8/8/8/8/R3K3 w - - 0 1,1k6/ppp5/8/8/8/8/8/3K3R,Ra8#,True,True,True,True,19047,
anthropic/claude-opus-4.5,high,10,3,1,Queen and King Mate,7k/5K2/6Q1/8/8/8/8/8 w - - 0 1,7k/5K2/6Q1/8/8/8/8/8,Qg8#,True,True,True,True,19047,
anthropic/claude-opus-4.5,high,10,3,2,Smothered Mate,6rk/6pp/8/4N3/8/8/8/4K3 w - - 0 1,3K4/8/8/8/3N4/8/pp6/kr6,Nf7#,True,True,True,True,19047,
anthropic/claude-opus-4.5,high,10,3,3,Box Mate,k7/8/K7/8/8/8/8/1R6 w - - 0 1,1R6/8/8/8/8/K7/8/k7,Rb8#,True,True,True,False,19047,Move gives check but not checkmate
anthropic/claude-opus-4.5,high,10,3,4,Epaulette Mate,3rkr2/8/4Q3/8/8/8/8/4K3 w - - 0 1,,Qe7#,False,False,False,False,19047,Invalid position (illegal board state)
anthropic/claude-opus-4.5,high,10,3,5,Anastasia's Mate,8/4N1pk/8/8/8/8/8/4K2R w - - 0 1,,Rh8#,False,False,False,False,19047,Invalid position (illegal board state)
anthropic/claude-opus-4.5,high,10,3,6,Ladder Mate (Two Rooks),7k/R7/8/8/8/8/8/4K1R1 w - - 0 1,1R1K4/8/8/8/8/8/7R/k7,Rg8#,True,True,True,False,19047,Move gives check but not checkmate
anthropic/claude-opus-4.5,high,10,3,7,Queen and King Corner Mate,8/8/8/8/8/5QK1/8/7k w - - 0 1,,Qf1#,False,False,False,False,19047,Invalid position (illegal board state)
anthropic/claude-opus-4.5,high,10,3,8,Rook and Bishop Mate,6k1/4K3/8/8/8/8/8/B6R w - - 0 1,1k6/3K4/8/8/8/8/8/R6B,Rh8#,True,True,True,True,19047,
anthropic/claude-opus-4.5,high,10,3,9,Arabian Mate,7k/R7/5N2/8/8/8/8/4K3 w - - 0 1,3K4/8/8/8/8/2N5/7R/k7,Rh7#,True,True,True,True,19047,
anthropic/claude-opus-4.5,high,10,4,0,Back Rank Mate,6k1/5ppp/8/8/8/8/8/4R1K1 w - - 0 1,1K1R4/8/8/8/8/8/ppp5/1k6,Re8#,True,True,True,True,22097,
anthropic/claude-opus-4.5,high,10,4,1,Smothered Mate,6rk/6pp/8/6N1/8/8/8/4K3 w - - 0 1,3K4/8/8/8/1N6/8/pp6/kr6,Nf7#,True,True,True,True,22097,
anthropic/claude-opus-4.5,high,10,4,2,Queen and King Mate,1k6/8/Q1K5/8/8/8/8/8 w - - 0 1,1k6/8/Q1K5/8/8/8/8/8,Qb7#,True,True,True,True,22097,
anthropic/claude-opus-4.5,high,10,4,3,Arabian Mate,6k1/5p2/4N3/8/8/8/8/K6R w - - 0 1,1k6/2p5/3N4/8/8/8/8/R6K,Rh8#,True,True,True,False,22097,Move gives check but not checkmate
anthropic/claude-opus-4.5,high,10,4,4,Fool's Mate (for White),rnbqkbnr/ppppp2p/5p2/6p1/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,RNBKQBNR/PPP2PPP/8/3PP3/1p6/2p5/p2ppppp/rnbkqbnr,Qh5#,True,True,True,True,22097,
anthropic/claude-opus-4.5,high,10,4,5,Epaulette Mate,3rkr2/8/Q7/8/8/8/8/4K3 w - - 0 1,2rkr3/8/7Q/8/8/8/8/3K4,Qe6#,True,True,True,True,22097,
anthropic/claude-opus-4.5,high,10,4,6,Box Mate,1k6/8/1K6/8/8/8/8/R7 w - - 0 1,1k6/8/1K6/8/8/8/8/R7,Ra8#,True,True,True,False,22097,Move gives check but not checkmate
anthropic/claude-opus-4.5,high,10,4,7,Queen Checkmate,7k/6p1/6Q1/8/8/8/8/4K3 w - - 0 1,3K4/8/8/8/8/1Q6/1p6/k7,Qh7#,True,True,True,False,22097,Move gives check but not checkmate
anthropic/claude-opus-4.5,high,10,4,8,Ladder Mate,8/8/8/8/8/2R5/1R6/k3K3 w - - 0 1,3K3k/6R1/5R2/8/8/8/8/8,Rc1#,True,True,True,False,22097,Move gives check but not checkmate
anthropic/claude-opus-4.5,high,10,4,9,Opera Mate,4k3/3p1p2/8/2B5/8/8/8/R3K3 w - - 0 1,3K3R/8/8/8/5B2/8/2p1p3/3k4,Ra8#,True,True,True,True,22097,
anthropic/claude-opus-4.5,high,10,5,0,Back Rank Mate,6k1/5ppp/8/8/8/8/8/R5K1 w - - 0 1,1K5R/8/8/8/8/8/ppp5/1k6,Ra8#,True,True,True,True,21508,
anthropic/claude-opus-4.5,high,10,5,1,Scholar's Mate Pattern,rnbqkbnr/ppppp2p/5p2/6p1/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,RNBKQBNR/PPP2PPP/8/3PP3/1p6/2p5/p2ppppp/rnbkqbnr,Qh5#,True,True,True,True,21508,
anthropic/claude-opus-4.5,high,10,5,2,Smothered Mate,6rk/6pp/8/4N3/8/8/8/6K1 w - - 0 1,1K6/8/8/8/3N4/8/pp6/kr6,Nf7#,True,True,True,True,21508,
anthropic/claude-opus-4.5,high,10,5,3,Lawnmower Mate,k7/8/8/8/8/8/R7/1R4K1 w - - 0 1,,Rb8#,False,False,False,False,21508,Invalid position (illegal board state)
anthropic/claude-opus-4.5,high,10,5,4,King and Queen Mate,k7/2K5/8/8/8/8/8/Q7 w - - 0 1,,Qa7#,False,False,False,False,21508,Invalid position (illegal board state)
anthropic/claude-opus-4.5,high,10,5,5,Epaulette Mate,3rkr2/8/8/8/8/8/8/4Q1K1 w - - 0 1,,Qe7#,False,False,False,False,21508,Invalid position (illegal board state)
anthropic/claude-opus-4.5,high,10,5,6,Opera Mate,6k1/5p1p/8/8/8/8/1B6/3R2K1 w - - 0 1,1K2R3/6B1/8/8/8/8/p1p5/1k6,Rd8#,True,True,True,True,21508,
anthropic/claude-opus-4.5,high,10,5,7,Boden's Mate,2kr4/2pp4/8/1B6/5B2/8/8/K7 w - - 0 1,2kr4/2pp4/8/1B6/5B2/8/8/K7,Ba6#,True,True,True,False,21508,Move gives check but not checkmate
anthropic/claude-opus-4.5,high,10,5,8,Rook and Knight Mate,6k1/5pp1/8/6N1/8/8/8/R1K5 w - - 0 1,1k6/1pp5/8/1N6/8/8/8/5K1R,Ra8#,True,True,True,True,21508,
anthropic/claude-opus-4.5,high,10,5,9,Greco's Mate,7k/6p1/8/7Q/8/3B4/8/4K3 w - - 0 1,,Qh7#,False,False,False,False,21508,Invalid position (illegal board state)
anthropic/claude-opus-4.5,high,10,6,0,Back Rank Mate,6k1/5ppp/8/8/8/8/4K3/3Q4 w - - 0 1,1k6/ppp5/8/8/8/8/3K4/4Q3,Qd8#,True,True,True,True,22864,
anthropic/claude-opus-4.5,high,10,6,1,Smothered Mate,6rk/6pp/8/4N3/8/8/8/4K3 w - - 0 1,3K4/8/8/8/3N4/8/pp6/kr6,Nf7#,True,True,True,True,22864,
anthropic/claude-opus-4.5,high,10,6,2,Queen Mate,4k3/8/3Q4/8/8/8/8/4K3 w - - 0 1,3K4/8/8/8/8/4Q3/8/3k4,Qe7#,True,True,True,False,22864,Move gives check but not checkmate
anthropic/claude-opus-4.5,high,10,6,3,Opera Mate,1k6/ppp5/8/8/8/8/6B1/R3K3 w - - 0 1,1k6/ppp5/8/8/8/8/6B1/R3K3,Ra8#,True,True,False,False,22864,Illegal move: Ra8#
anthropic/claude-opus-4.5,high,10,6,4,Arabian Mate,7k/8/5N2/8/8/8/8/4K1R1 w - - 0 1,1R1K4/8/8/8/8/2N5/8/k7,Rg8#,True,True,True,True,22864,
anthropic/claude-opus-4.5,high,10,6,5,Knight and Queen Mate,5k2/8/5NQ1/8/8/8/8/4K3 w - - 0 1,2k5/8/1QN5/8/8/8/8/3K4,Qg7#,True,True,True,False,22864,Move gives check but not checkmate
anthropic/claude-opus-4.5,high,10,6,6,Epaulette Mate,3rkr2/8/4Q3/8/8/8/8/4K3 w - - 0 1,,Qe7#,False,False,False,False,22864,Invalid position (illegal board state)
anthropic/claude-opus-4.5,high,10,6,7,Hook Mate,r4rk1/5Npp/4B3/8/8/8/8/4K2R w - - 0 1,1kr4r/ppN5/3B4/8/8/8/8/R2K4,Rh8#,True,True,False,False,22864,Illegal move: Rh8#
anthropic/claude-opus-4.5,high,10,6,8,Diagonal Mate,6k1/8/5BQ1/8/8/8/8/5K2 w - - 0 1,,Qg7#,False,False,False,False,22864,Invalid position (illegal board state)
anthropic/claude-opus-4.5,high,10,6,9,Ladder Mate,k7/8/1R6/R7/8/8/8/4K3 w - - 0 1,,Ra6#,False,False,False,False,22864,Invalid position (illegal board state)
anthropic/claude-opus-4.5,high,10,7,0,Back Rank Mate,6k1/5ppp/8/8/8/8/8/R3K3 w - - 0 1,1k6/ppp5/8/8/8/8/8/3K3R,Ra8#,True,True,True,True,27621,
anthropic/claude-opus-4.5,high,10,7,1,Scholar's Mate,r1bqkb1r/pppp1ppp/2n2n2/4p2Q/2B1P3/8/PPPP1PPP/RNB1K1NR w KQkq - 0 1,RN1K1BNR/PPP1PPPP/8/3P1B2/Q2p4/2n2n2/ppp1pppp/r1bkqb1r,Qxf7#,True,True,True,True,27621,
anthropic/claude-opus-4.5,high,10,7,2,Smothered Mate,R5rk/6pp/7N/8/8/8/8/4K3 w - - 0 1,3K4/8/8/8/8/N7/pp6/kr5R,Nf7#,True,True,True,True,27621,
anthropic/claude-opus-4.5,high,10,7,3,Arabian Mate,7k/8/5N2/8/8/8/8/4K2R w - - 0 1,,Rh7#,False,False,False,False,27621,Invalid position (illegal board state)
anthropic/claude-opus-4.5,high,10,7,4,Queen and Knight Mate,7k/8/4N3/8/8/2Q5/8/4K3 w - - 0 1,,Qg7#,False,False,False,False,27621,Invalid position (illegal board state)
anthropic/claude-opus-4.5,high,10,7,5,Ladder Mate (Two Rooks),7k/R6P/8/8/8/8/8/4K1R1 w - - 0 1,1R1K4/8/8/8/8/8/P6R/k7,Ra8#,True,True,True,False,27621,Move gives check but not checkmate
anthropic/claude-opus-4.5,high,10,7,6,Epaulette Mate,3rkr2/8/8/8/8/8/8/4QK2 w - - 0 1,,Qe7#,False,False,False,False,27621,Invalid position (illegal board state)
anthropic/claude-opus-4.5,high,10,7,7,Boden's Mate,1nkr4/pp1p4/B2B4/8/8/8/8/4K3 w - - 0 1,1nkr4/pp1p4/B2B4/8/8/8/8/4K3,Bxb7#,True,True,True,False,27621,Move gives check but not checkmate
anthropic/claude-opus-4.5,high,10,7,8,Hook Mate,6k1/5pNp/8/8/8/8/8/4K2R w - - 0 1,1k6/pNp5/8/8/8/8/8/R2K4,Rh8#,True,True,False,False,27621,Illegal move: Rh8#
anthropic/claude-opus-4.5,high,10,7,9,Anastasia's Mate,8/4N1pk/5B2/8/8/8/8/4K2R w - - 0 1,,Rh8#,False,False,False,False,27621,Invalid position (illegal board state)
anthropic/claude-opus-4.5,high,10,8,0,Back Rank Mate,6k1/5ppp/8/8/8/8/8/3R3K w - - 0 1,1k6/ppp5/8/8/8/8/8/K3R3,Rd8#,True,True,True,True,27104,
anthropic/claude-opus-4.5,high,10,8,1,Smothered Mate,6rk/6pp/8/4N3/8/8/8/4K3 w - - 0 1,3K4/8/8/8/3N4/8/pp6/kr6,Nf7#,True,True,True,True,27104,
anthropic/claude-opus-4.5,high,10,8,2,Queen and King Mate,7k/5Q2/5K2/8/8/8/8/8 w - - 0 1,7k/5Q2/5K2/8/8/8/8/8,Qg7#,True,True,True,True,27104,
anthropic/claude-opus-4.5,high,10,8,3,Scholar's Mate,3qk3/5p2/8/7Q/2B5/8/8/6K1 w - - 0 1,1K6/8/8/5B2/Q7/8/2p5/3kq3,Qxf7#,True,True,True,True,27104,
anthropic/claude-opus-4.5,high,10,8,4,Anastasia's Mate,8/4N1pk/6p1/8/8/8/8/6KR w - - 0 1,,Rh8#,False,False,False,False,27104,Invalid position (illegal board state)
anthropic/claude-opus-4.5,high,10,8,5,Arabian Mate,6k1/6pp/7N/8/8/8/8/5RK1 w - - 0 1,,Rf8#,False,False,False,False,27104,Invalid position (illegal board state)
anthropic/claude-opus-4.5,high,10,8,6,Boden's Mate,2kr4/3p4/8/1B6/8/8/7B/6K1 w - - 0 1,1K6/B7/8/8/6B1/8/4p3/4rk2,Ba6#,True,True,True,True,27104,
anthropic/claude-opus-4.5,high,10,8,7,Epaulette Mate,2rkr3/8/8/8/8/8/6K1/3Q4 w - - 0 1,,Qd7#,False,False,False,False,27104,Invalid position (illegal board state)
anthropic/claude-opus-4.5,high,10,8,8,Double Bishop Mate,7k/7B/8/4B3/8/8/8/6K1 w - - 0 1,,Bf6#,False,False,False,False,27104,Invalid position (illegal board state)
anthropic/claude-opus-4.5,high,10,8,9,Ladder Mate,7K/8/8/8/8/1R6/R7/k7 w - - 0 1,,Rb1#,False,False,False,False,27104,Invalid position (illegal board state)
anthropic/claude-opus-4.5,high,10,9,0,Back Rank Mate,6k1/5ppp/8/8/8/8/8/4R2K w - - 0 1,1k6/ppp5/8/8/8/8/8/K2R4,Re8#,True,True,True,True,28135,
anthropic/claude-opus-4.5,high,10,9,1,Anastasia's Mate,7k/R3N1p1/8/8/8/8/8/6K1 w - - 0 1,1K6/8/8/8/8/8/1p1N3R/k7,Rh7#,True,True,False,False,28135,Illegal move: Rh7#
anthropic/claude-opus-4.5,high,10,9,2,Scholar's Mate,r1bqkb1r/pppp1ppp/2n2n2/4p2Q/2B1P3/8/PPPP1PPP/RNB1K1NR w KQkq - 4 4,RN1K1BNR/PPP1PPPP/8/3P1B2/Q2p4/2n2n2/ppp1pppp/r1bkqb1r,Qxf7#,True,True,True,True,28135,
anthropic/claude-opus-4.5,high,10,9,3,Smothered Mate,6rk/6pp/8/6N1/8/8/8/6K1 w - - 0 1,1K6/8/8/8/1N6/8/pp6/kr6,Nf7#,True,True,True,True,28135,
anthropic/claude-opus-4.5,high,10,9,4,Arabian Mate,7k/6p1/5N2/8/8/8/8/6RK w - - 0 1,6RK/8/8/8/8/5N2/6p1/7k,Rg8#,True,True,False,False,28135,Illegal move: Rg8#
anthropic/claude-opus-4.5,high,10,9,5,Opera Mate,5b1k/6pp/8/8/8/8/1B6/3R2K1 w - - 0 1,1K2R3/6B1/8/8/8/8/pp6/k1b5,Rd8#,True,True,True,False,28135,Move does not give check
anthropic/claude-opus-4.5,high,10,9,6,Epaulette Mate,3rkr2/8/3B4/8/4Q3/8/8/6K1 w - - 0 1,,Qe7#,False,False,False,False,28135,Invalid position (illegal board state)
anthropic/claude-opus-4.5,high,10,9,7,Boden's Mate,2kr4/3r4/8/1B2B3/8/8/8/6K1 w - - 0 1,1K6/8/8/8/3B2B1/8/4r3/4rk2,Ba6#,True,True,True,False,28135,Move gives check but not checkmate
anthropic/claude-opus-4.5,high,10,9,8,Queen and King Mate,k7/8/Q1K5/8/8/8/8/8 w - - 0 1,,Qa7#,False,False,False,False,28135,Invalid position (illegal board state)
anthropic/claude-opus-4.5,high,10,9,9,Suffocation Mate,6rk/6pp/8/8/8/8/8/6RK w - - 0 1,6RK/8/8/8/8/8/6pp/6rk,Rxg8#,True,True,False,False,28135,Illegal move: Rxg8#
anthropic/claude-opus-4.5,high,3,1,0,Back Rank Mate,6k1/5ppp/8/8/8/8/8/R3K3 w - - 0 1,1k6/ppp5/8/8/8/8/8/3K3R,Ra8#,True,True,True,True,5221,
anthropic/claude-opus-4.5,high,3,1,1,Queen Mate,4Q2k/8/6K1/8/8/8/8/8 w - - 0 1,,Qg8#,False,False,False,False,5221,Invalid position (illegal board state)
anthropic/claude-opus-4.5,high,3,1,2,Smothered Mate,6rk/5ppp/8/4N3/8/8/8/4K3 w - - 0 1,3K4/8/8/8/3N4/8/ppp5/kr6,Ng6#,True,True,True,False,5221,Move gives check but not checkmate
anthropic/claude-opus-4.5,high,3,10,0,Back Rank Mate,5k2/4ppp1/8/8/8/8/8/R5K1 w - - 0 1,1K5R/8/8/8/8/8/1ppp4/2k5,Ra8#,True,True,True,True,15108,
anthropic/claude-opus-4.5,high,3,10,1,Smothered Mate,6rk/6pp/7N/8/8/8/8/7K w - - 0 1,6rk/6pp/7N/8/8/8/8/7K,Nf7#,True,True,True,True,15108,
anthropic/claude-opus-4.5,high,3,10,2,Arabian Mate,7k/8/5N2/8/8/8/8/4K2R w - - 0 1,,Rh7#,False,False,False,False,15108,Invalid position (illegal board state)
anthropic/claude-opus-4.5,high,3,2,0,Back Rank Mate,6k1/5ppp/8/8/8/8/8/4R1K1 w - - 0 1,1K1R4/8/8/8/8/8/ppp5/1k6,Re8#,True,True,True,True,8674,
anthropic/claude-opus-4.5,high,3,2,1,Queen Corner Mate,7k/8/6Q1/8/8/8/8/6K1 w - - 0 1,1K6/8/8/8/8/1Q6/8/k7,Qg7#,True,True,True,False,8674,Move gives check but not checkmate
anthropic/claude-opus-4.5,high,3,2,2,Smothered Mate,6rk/6pp/7N/8/8/8/8/K7 w - - 0 1,6rk/6pp/7N/8/8/8/8/K7,Nf7#,True,True,True,True,8674,
anthropic/claude-opus-4.5,high,3,3,0,Back Rank Mate,6k1/5ppp/8/8/8/8/8/R5K1 w - - 0 1,1K5R/8/8/8/8/8/ppp5/1k6,Ra8#,True,True,True,True,6109,
anthropic/claude-opus-4.5,high,3,3,1,Arabian Mate,7k/R7/5N2/8/8/8/8/6K1 w - - 0 1,1K6/8/8/8/8/2N5/7R/k7,Rh7#,True,True,True,True,6109,
anthropic/claude-opus-4.5,high,3,3,2,Smothered Mate,6rk/6pp/8/4N3/8/8/8/6K1 w - - 0 1,1K6/8/8/8/3N4/8/pp6/kr6,Nf7#,True,True,True,True,6109,
anthropic/claude-opus-4.5,high,3,4,0,Back Rank Mate,6k1/5ppp/8/8/8/8/8/4R1K1 w - - 0 1,1K1R4/8/8/8/8/8/ppp5/1k6,Re8#,True,True,True,True,9119,
anthropic/claude-opus-4.5,high,3,4,1,Arabian Mate,6k1/5pp1/6N1/8/8/8/8/4K2R w - - 0 1,1k6/1pp5/1N6/8/8/8/8/R2K4,Rh8#,True,True,True,True,9119,
anthropic/claude-opus-4.5,high,3,4,2,Smothered Mate,6rk/6pp/8/4N3/8/8/8/4K3 w - - 0 1,3K4/8/8/8/3N4/8/pp6/kr6,Nf7#,True,True,True,True,9119,
anthropic/claude-opus-4.5,high,3,5,0,Back Rank Mate,1k6/ppp5/8/8/8/8/8/3R2K1 w - - 0 1,1K2R3/8/8/8/8/8/5ppp/6k1,Rd8#,True,True,True,True,9202,
anthropic/claude-opus-4.5,high,3,5,1,Smothered Mate,6rk/6pp/8/6N1/8/8/8/4K3 w - - 0 1,3K4/8/8/8/1N6/8/pp6/kr6,Nf7#,True,True,True,True,9202,
anthropic/claude-opus-4.5,high,3,5,2,Arabian Mate,6k1/5pp1/5N2/8/8/8/8/4K2R w - - 0 1,,Rh8#,False,False,False,False,9202,Invalid position (illegal board state)
anthropic/claude-opus-4.5,high,3,6,0,Back Rank Mate,6k1/5ppp/8/8/8/8/8/K2R4 w - - 0 1,1k6/ppp5/8/8/8/8/8/4R2K,Rd8#,True,True,True,True,4194,
anthropic/claude-opus-4.5,high,3,6,1,Queen and Bishop Mate,7k/7p/5Q2/8/8/8/1B6/K7 w - - 0 1,,Qg7#,False,False,False,False,4194,Invalid position (illegal board state)
anthropic/claude-opus-4.5,high,3,6,2,Smothered Mate,6rk/7p/8/4N3/8/8/8/K7 w - - 0 1,6rk/7p/8/4N3/8/8/8/K7,Ng6#,True,True,True,False,4194,Move gives check but not checkmate
anthropic/claude-opus-4.5,high,3,7,0,Back Rank Mate,6k1/5ppp/8/8/8/8/8/4R2K w - - 0 1,1k6/ppp5/8/8/8/8/8/K2R4,Re8#,True,True,True,True,5731,
anthropic/claude-opus-4.5,high,3,7,1,Epaulette Mate,3rkr2/8/8/8/8/8/4Q3/4R2K w - - 0 1,,Qe7#,False,False,False,False,5731,Invalid position (illegal board state)
anthropic/claude-opus-4.5,high,3,7,2,Smothered Mate,6rk/6pp/7N/8/8/8/8/K7 w - - 0 1,6rk/6pp/7N/8/8/8/8/K7,Nf7#,True,True,True,True,5731,
anthropic/claude-opus-4.5,high,3,8,0,Back Rank Mate,6k1/5ppp/8/8/8/8/8/4R1K1 w - - 0 1,1K1R4/8/8/8/8/8/ppp5/1k6,Re8#,True,True,True,True,9387,
anthropic/claude-opus-4.5,high,3,8,1,Smothered Mate,6rk/6pp/8/4N3/8/8/8/6K1 w - - 0 1,1K6/8/8/8/3N4/8/pp6/kr6,Nf7#,True,True,True,True,9387,
anthropic/claude-opus-4.5,high,3,8,2,King and Queen Mate,8/8/8/8/8/6Q1/8/5K1k w - - 0 1,5K1k/8/6Q1/8/8/8/8/8,Qg1#,True,True,True,True,9387,
