id,model,prompt,effort,num,run,board_correct,drag_drop_works,checkmate_logic_valid,scenarios_distinct,needs_integrity_stripped,needs_chessboard_js_replaced,scenario_1_valid,scenario_2_valid,scenario_3_valid,valid_scenario_count,notes
anthropic/claude-sonnet-4.5|standard|high|num_3|run_7,anthropic/claude-sonnet-4.5,standard,high,3,7,True,True,False,True,False,False,False,False,False,0,
anthropic/claude-sonnet-4.5|standard|high|num_3|run_8,anthropic/claude-sonnet-4.5,standard,high,3,8,True,True,False,True,False,False,False,True,False,1,
anthropic/claude-sonnet-4.5|standard|high|num_3|run_9,anthropic/claude-sonnet-4.5,standard,high,3,9,True,True,False,True,False,False,False,False,True,1,
anthropic/claude-sonnet-4.5|standard|high|num_3|run_10,anthropic/claude-sonnet-4.5,standard,high,3,10,True,True,False,False,False,False,False,True,False,1,
google/gemini-3-pro-preview|standard|high|num_3|run_1,google/gemini-3-pro-preview,standard,high,3,1,True,True,True,True,False,False,True,True,True,3,
google/gemini-3-pro-preview|standard|high|num_3|run_2,google/gemini-3-pro-preview,standard,high,3,2,True,True,True,True,False,False,True,True,False,2,
google/gemini-3-pro-preview|standard|high|num_3|run_3,google/gemini-3-pro-preview,standard,high,3,3,True,True,True,True,False,False,True,True,False,2,
google/gemini-3-pro-preview|standard|high|num_3|run_4,google/gemini-3-pro-preview,standard,high,3,4,True,True,True,True,True,False,True,True,True,3,
google/gemini-3-pro-preview|standard|high|num_3|run_5,google/gemini-3-pro-preview,standard,high,3,5,True,True,True,True,False,False,True,True,False,2,
google/gemini-3-pro-preview|standard|high|num_3|run_6,google/gemini-3-pro-preview,standard,high,3,6,True,True,True,False,False,False,True,False,False,1,
google/gemini-3-pro-preview|standard|high|num_3|run_7,google/gemini-3-pro-preview,standard,high,3,7,False,False,False,False,False,False,True,False,True,2,
google/gemini-3-pro-preview|standard|high|num_3|run_8,google/gemini-3-pro-preview,standard,high,3,8,True,True,True,True,True,False,True,True,False,2,
google/gemini-3-pro-preview|standard|high|num_3|run_9,google/gemini-3-pro-preview,standard,high,3,9,True,True,True,True,True,False,True,True,True,3,
google/gemini-3-pro-preview|standard|high|num_3|run_10,google/gemini-3-pro-preview,standard,high,3,10,False,False,False,False,False,False,True,False,True,2,
openai/gpt-5.1|standard|high|num_3|run_10,openai/gpt-5.1,standard,high,3,10,True,True,True,True,False,False,False,False,True,1,
openai/gpt-5.1|standard|high|num_3|run_1,openai/gpt-5.1,standard,high,3,1,False,False,False,False,False,False,True,True,False,2,
openai/gpt-5.1|standard|high|num_3|run_2,openai/gpt-5.1,standard,high,3,2,False,False,False,False,False,False,False,True,False,1,
openai/gpt-5.1|standard|high|num_3|run_3,openai/gpt-5.1,standard,high,3,3,False,False,False,False,False,False,True,True,True,3,
openai/gpt-5.1|standard|high|num_3|run_4,openai/gpt-5.1,standard,high,3,4,False,False,False,False,False,False,True,False,False,1,
openai/gpt-5.1|standard|high|num_3|run_5,openai/gpt-5.1,standard,high,3,5,False,False,False,False,False,False,False,True,True,2,
openai/gpt-5.1|standard|high|num_3|run_6,openai/gpt-5.1,standard,high,3,6,False,False,False,False,False,False,True,True,True,3,
openai/gpt-5.1|standard|high|num_3|run_7,openai/gpt-5.1,standard,high,3,7,False,False,True,True,False,False,True,True,True,3,
openai/gpt-5.1|standard|high|num_3|run_8,openai/gpt-5.1,standard,high,3,8,False,False,False,False,False,False,True,True,True,3,
openai/gpt-5.1|standard|high|num_3|run_9,openai/gpt-5.1,standard,high,3,9,False,False,False,False,False,False,True,False,False,1,
